customer_id,revenue_rank,revenue,cumulative_revenue,cumulative_percent,top_percent_of_customers
CUST00415,518,1992.73,3764298.43,96.3,74.53
CUST00275,519,1980.92,3766279.35,96.36,74.68
CUST00591,520,1967.62,3768246.97,96.41,74.82
CUST00520,521,1963.38,3770210.35,96.46,74.96
CUST00194,522,1942.83,3772153.18,96.51,75.11
CUST00069,523,1940.71,3774093.89,96.56,75.25
CUST00543,524,1922.89,3776016.78,96.6,75.4
CUST00538,525,1922.77,3777939.55,96.65,75.54
CUST00545,526,1909.33,3779848.88,96.7,75.68
CUST00444,527,1908.62,3781757.5,96.75,75.83
CUST00063,528,1887.59,3783645.09,96.8,75.97
CUST00387,529,1883.43,3785528.52,96.85,76.12
CUST00379,530,1863.83,3787392.35,96.9,76.26
CUST00207,531,1838.44,3789230.79,96.94,76.4
CUST00237,532,1836.39,3791067.18,96.99,76.55
CUST00259,533,1832.84,3792900.02,97.04,76.69
CUST00523,534,1819.84,3794719.86,97.08,76.83
CUST00521,535,1811.89,3796531.75,97.13,76.98
CUST00667,536,1802.28,3798334.03,97.18,77.12
CUST00173,537,1796.68,3800130.71,97.22,77.27
CUST00557,538,1783.28,3801913.99,97.27,77.41
CUST00141,539,1771.67,3803685.66,97.31,77.55
CUST00108,540,1758.05,3805443.71,97.36,77.7
CUST00384,541,1752.7,3807196.41,97.4,77.84
CUST00312,542,1747.06,3808943.47,97.45,77.99
CUST00329,543,1698.82,3810642.29,97.49,78.13
CUST00158,544,1691.62,3812333.91,97.53,78.27
CUST00498,545,1659.59,3813993.5,97.58,78.42
CUST00500,546,1657.45,3815650.95,97.62,78.56
CUST00738,547,1634.11,3817285.06,97.66,78.71
CUST00595,548,1626.92,3818911.98,97.7,78.85
CUST00116,549,1626.27,3820538.25,97.74,78.99
CUST00475,550,1619.75,3822158.0,97.79,79.14
CUST00049,551,1618.72,3823776.72,97.83,79.28
CUST00005,552,1575.79,3825352.51,97.87,79.42
CUST00734,553,1574.95,3826927.46,97.91,79.57
CUST00261,554,1572.73,3828500.19,97.95,79.71
CUST00189,555,1571.45,3830071.64,97.99,79.86
CUST00390,556,1557.23,3831628.87,98.03,80.0
CUST00089,557,1543.19,3833172.06,98.07,80.14
CUST00218,558,1497.61,3834669.67,98.11,80.29
CUST00002,559,1459.34,3836129.01,98.14,80.43
CUST00268,560,1440.43,3837569.44,98.18,80.58
CUST00322,561,1439.43,3839008.87,98.22,80.72
CUST00796,562,1432.52,3840441.39,98.25,80.86
CUST00653,563,1423.26,3841864.65,98.29,81.01
CUST00397,564,1423.14,3843287.79,98.33,81.15
CUST00195,565,1421.08,3844708.87,98.36,81.29
CUST00722,566,1420.88,3846129.75,98.4,81.44
CUST00468,567,1404.95,3847534.7,98.43,81.58
CUST00231,568,1389.78,3848924.48,98.47,81.73
CUST00310,569,1389.56,3850314.04,98.51,81.87
CUST00254,570,1379.77,3851693.81,98.54,82.01
CUST00718,571,1379.49,3853073.3,98.58,82.16
CUST00516,572,1374.58,3854447.88,98.61,82.3
CUST00731,573,1372.99,3855820.87,98.65,82.45
CUST00639,574,1346.89,3857167.76,98.68,82.59
CUST00445,575,1314.64,3858482.4,98.71,82.73
CUST00318,576,1293.51,3859775.91,98.75,82.88
CUST00148,577,1279.65,3861055.56,98.78,83.02
CUST00008,578,1278.04,3862333.6,98.81,83.17
CUST00140,579,1276.71,3863610.31,98.85,83.31
CUST00530,580,1267.24,3864877.55,98.88,83.45
CUST00348,581,1260.11,3866137.66,98.91,83.6
CUST00488,582,1241.07,3867378.73,98.94,83.74
CUST00209,583,1213.32,3868592.05,98.97,83.88
CUST00763,584,1208.31,3869800.36,99.0,84.03
CUST00559,585,1205.72,3871006.08,99.03,84.17
CUST00294,586,1201.03,3872207.11,99.07,84.32
CUST00139,587,1191.77,3873398.88,99.1,84.46
CUST00767,588,1178.83,3874577.71,99.13,84.6
CUST00572,589,1160.55,3875738.26,99.16,84.75
CUST00149,590,1151.36,3876889.62,99.19,84.89
CUST00316,591,1140.0,3878029.62,99.21,85.04
CUST00098,592,1138.9,3879168.52,99.24,85.18
CUST00420,593,1124.56,3880293.08,99.27,85.32
CUST00539,594,1107.6,3881400.68,99.3,85.47
CUST00652,595,1074.89,3882475.57,99.33,85.61
CUST00461,596,1071.21,3883546.78,99.36,85.76
CUST00621,597,1064.15,3884610.93,99.38,85.9
CUST00473,598,1046.82,3885657.75,99.41,86.04
CUST00119,599,1044.09,3886701.84,99.44,86.19
CUST00330,600,977.76,3887679.6,99.46,86.33
CUST00542,601,948.8,3888628.4,99.49,86.47
CUST00245,602,943.83,3889572.23,99.51,86.62
CUST00632,603,907.21,3890479.44,99.53,86.76
CUST00061,604,900.94,3891380.38,99.56,86.91
CUST00369,605,896.05,3892276.43,99.58,87.05
CUST00525,606,861.83,3893138.26,99.6,87.19
CUST00736,607,853.57,3893991.83,99.62,87.34
CUST00459,608,833.36,3894825.19,99.64,87.48
CUST00074,609,830.88,3895656.07,99.67,87.63
CUST00019,610,815.75,3896471.82,99.69,87.77
CUST00213,611,790.73,3897262.55,99.71,87.91
CUST00580,612,768.06,3898030.61,99.73,88.06
CUST00127,613,757.5,3898788.11,99.75,88.2
CUST00742,614,754.8,3899542.91,99.76,88.35
CUST00079,615,740.13,3900283.04,99.78,88.49
CUST00791,616,731.84,3901014.88,99.8,88.63
CUST00606,617,729.94,3901744.82,99.82,88.78
CUST00483,618,728.17,3902472.99,99.84,88.92
CUST00642,619,725.47,3903198.46,99.86,89.06
CUST00532,620,705.01,3903903.47,99.88,89.21
CUST00697,621,683.64,3904587.11,99.89,89.35
CUST00757,622,674.2,3905261.31,99.91,89.5
CUST00511,623,669.25,3905930.56,99.93,89.64
CUST00608,624,669.06,3906599.62,99.95,89.78
CUST00725,625,646.65,3907246.27,99.96,89.93
CUST00335,626,577.59,3907823.86,99.98,90.07
CUST00083,627,573.57,3908397.43,99.99,90.22
CUST00084,628,568.97,3908966.4,100.01,90.36
CUST00331,629,531.9,3909498.3,100.02,90.5
CUST00321,630,526.65,3910024.95,100.03,90.65
CUST00662,631,517.57,3910542.52,100.05,90.79
CUST00794,632,503.82,3911046.34,100.06,90.94
CUST00093,633,484.68,3911531.02,100.07,91.08
CUST00733,634,475.87,3912006.89,100.08,91.22
CUST00192,635,463.44,3912470.33,100.1,91.37
CUST00422,636,450.31,3912920.64,100.11,91.51
CUST00492,637,446.79,3913367.43,100.12,91.65
CUST00582,638,438.1,3913805.53,100.13,91.8
CUST00702,639,434.66,3914240.19,100.14,91.94
CUST00690,640,410.95,3914651.14,100.15,92.09
CUST00404,641,402.25,3915053.39,100.16,92.23
CUST00072,642,398.54,3915451.93,100.17,92.37
CUST00406,643,380.35,3915832.28,100.18,92.52
CUST00288,644,377.72,3916210.0,100.19,92.66
CUST00300,645,377.08,3916587.08,100.2,92.81
CUST00698,646,364.69,3916951.77,100.21,92.95
CUST00634,647,363.69,3917315.46,100.22,93.09
CUST00630,648,359.64,3917675.1,100.23,93.24
CUST00045,649,350.74,3918025.84,100.24,93.38
CUST00752,650,336.44,3918362.28,100.25,93.53
CUST00339,651,287.11,3918649.39,100.25,93.67
CUST00466,652,286.77,3918936.16,100.26,93.81
CUST00555,653,270.56,3919206.72,100.27,93.96
CUST00381,654,265.39,3919472.11,100.27,94.1
CUST00289,655,257.95,3919730.06,100.28,94.24
CUST00597,656,255.54,3919985.6,100.29,94.39
CUST00305,657,237.99,3920223.59,100.29,94.53
CUST00044,658,236.71,3920460.3,100.3,94.68
CUST00080,659,216.28,3920676.58,100.31,94.82
CUST00015,660,202.88,3920879.46,100.31,94.96
CUST00593,661,200.86,3921080.32,100.32,95.11
CUST00129,662,192.03,3921272.35,100.32,95.25
CUST00579,663,182.7,3921455.05,100.33,95.4
CUST00686,664,175.75,3921630.8,100.33,95.54
CUST00657,665,172.05,3921802.85,100.33,95.68
CUST00660,666,158.19,3921961.04,100.34,95.83
CUST00303,667,140.45,3922101.49,100.34,95.97
CUST00120,668,136.67,3922238.16,100.35,96.12
CUST00537,669,132.25,3922370.41,100.35,96.26
CUST00684,670,124.56,3922494.97,100.35,96.4
CUST00036,671,120.73,3922615.7,100.36,96.55
CUST00650,672,116.65,3922732.35,100.36,96.69
CUST00313,673,116.55,3922848.9,100.36,96.83
CUST00478,674,56.64,3922905.54,100.36,96.98
CUST00285,675,55.23,3922960.77,100.36,97.12
CUST00111,676,38.31,3922999.08,100.37,97.27
CUST00024,677,36.16,3923035.24,100.37,97.41
CUST00297,678,21.67,3923056.91,100.37,97.55
CUST00317,679,18.53,3923075.44,100.37,97.7
CUST00471,680,11.57,3923087.01,100.37,97.84
CUST00214,681,10.22,3923097.23,100.37,97.99
CUST00504,682,6.61,3923103.84,100.37,98.13
CUST00417,683,-145.46,3922958.38,100.36,98.27
CUST00760,684,-178.39,3922779.99,100.36,98.42
CUST00386,685,-244.92,3922535.07,100.35,98.56
CUST00683,686,-280.38,3922254.69,100.35,98.71
CUST00393,687,-454.3,3921800.39,100.33,98.85
CUST00620,688,-577.93,3921222.46,100.32,98.99
CUST00506,689,-993.8,3920228.66,100.29,99.14
CUST00191,690,-1057.05,3919171.61,100.27,99.28
CUST00224,691,-1119.98,3918051.63,100.24,99.42
CUST00217,692,-1643.82,3916407.81,100.2,99.57
CUST00021,693,-1746.17,3914661.64,100.15,99.71
CUST00211,694,-1783.88,3912877.76,100.11,99.86
CUST00481,695,-4146.7,3908731.06,100.0,100.0
